name,espn_id
evan tanner,2335830
everett sims,4245091
ezra elliott,5369723
fabiano iha,2501618
fabiano scherner,2431261
fabio cherant,4426301
fabio gurgel,2594933
fabio maldonado,2527756
fabricio camoes,2495166
fabricio werdum,2354533
falaniko vitale,2431256
fares ziam,4083018
farid basharat,5016786
farman hasanov,5350562
fatima kline,5028019
felice herrig,2512985
felicia spencer,3923488
felipe arantes,2565792
felipe bunes,4916248
felipe colares,4411886
felipe dos santos,5143333
felipe franco,5292014
felipe lima,5101694
felipe olivieri,3032024
felipe silva,4033337
felix lee mitchell,2504615
feng xiaocan,4820964
fernando bruno,3901006
fernando padilla,4239738
fernie garcia,4880596
filip pejic,3972436
flavio luiz moura,2500723
floyd sword,2335484
forrest griffin,2335522
forrest petz,2354208
francesco maturi,2951321
francimar barroso,2996767
francis carmont,2560725
francis marshall,5060394
francis ngannou,3933168
francisco figueiredo,4708819
francisco prado,5123216
francisco rivera,2531855
francisco trevino,3089326
francisco trinaldo,2516135
frank camacho,3115841
frank caracci,2558138
frank hamaker,2951244
frank lester,2556272
frank mir,2335301
frank shamrock,2431343
frank trigg,2335699
frankie edgar,2335694
frankie perez,3092342
frankie saenz,3027601
fred ettish,2951213
fredson paixao,2487738
fredy serrano,3157944
gabe green,4306125
gabe ruediger,2354539
gable steveson,5214652
gabriel benitez,3032218
gabriel bonfim,4921516
gabriel gonzaga,2354239
gabriel miranda,2558526
gabriel santos,5109762
gabriel silva,4425564
gabriella fernandes,4871203
gadzhi omargadzhiev,4896529
gadzhimurad antigulov,2971118
gaetano pirrello,3902208
galore bofando,4217815
gan mcgee,2501712
garett whiteley,3060123
garreth mclellan,3166073
garrett armfield,4686270
gary goodridge,2473804
gasan umalatov,3085301
gaston bolanos,4393818
gauge young,5085318
gavin tucker,4081475
geane herrera,3908742
gegard mousasi,2431313
genaro valdez,4874988
genki sudo,2500816
geoff neal,3111997
george mangos,5279283
george roop,2335801
george sotiropoulos,2335787
george sullivan,3004241
georges st-pierre,2335659
gerald harris,2502712
gerald meerschaert,2553261
gerald strebendt,2501538
geraldo de freitas,4411885
germaine de randamie,2552777
gerry harris,3018613
geza kalman,2504614
gian villante,2552660
gianni vazquez,4887310
gideon ray,2354196
giga chikadze,3957071
gigi canuto,5097909
gil castillo,2488880
gilbert aldana,2335877
gilbert burns,3090197
gilbert melendez,2470338
gilbert smith,3026147
gilbert urbina,4375574
gilbert yvel,2335880
gillian robertson,4089026
gina mazany,4082113
gisele moreira,4030631
glaico franca,3901117
gleidson cutis,4372295
gleison tibau,2354336
gloria de paula,4566310
